,date,location,location_name,value
16693,2020-09-24,28,Mississippi,68
16694,2020-07-27,29,Missouri,89
16695,2020-07-01,44,Rhode Island,0
16696,2020-09-16,72,Puerto Rico,26
16697,2020-08-09,10,Delaware,2
16698,2020-08-23,56,Wyoming,8
16699,2020-07-21,13,Georgia,203
16700,2020-08-12,39,Ohio,72
16701,2020-09-08,13,Georgia,733
16702,2020-08-31,34,New Jersey,41
16703,2020-09-25,34,New Jersey,27
16704,2020-09-03,15,Hawaii,29
16705,2020-08-02,09,Connecticut,7
16706,2020-09-18,37,North Carolina,94
16707,2020-09-05,21,Kentucky,156
16708,2020-08-23,08,Colorado,27
16709,2020-09-26,45,South Carolina,44
16710,2020-06-05,44,Rhode Island,0
16711,2020-06-10,26,Michigan,0
16712,2020-07-16,50,Vermont,6
16713,2020-08-20,13,Georgia,245
16714,2020-07-19,21,Kentucky,40
16715,2020-08-05,38,North Dakota,6
16716,2020-09-14,16,Idaho,5
16717,2020-10-04,09,Connecticut,15
16718,2020-09-13,27,Minnesota,35
16719,2020-08-12,22,Louisiana,144
16720,2020-09-12,72,Puerto Rico,30
16721,2020-08-25,15,Hawaii,58
16722,2020-07-14,20,Kansas,33
16723,2020-08-24,40,Oklahoma,74
16724,2020-09-26,38,North Dakota,18
16725,2020-08-31,08,Colorado,27
16726,2020-08-15,49,Utah,8
16727,2020-08-28,40,Oklahoma,162
16728,2020-09-09,19,Iowa,29
16729,2020-08-31,26,Michigan,59
16730,2020-08-25,56,Wyoming,2
16731,2020-09-17,04,Arizona,46
16732,2020-08-17,25,Massachusetts,20
16733,2020-07-22,40,Oklahoma,71
16734,2020-09-09,32,Nevada,32
16735,2020-08-20,51,Virginia,74
16736,2020-09-21,37,North Carolina,110
16737,2020-09-04,15,Hawaii,54
16738,2020-10-07,26,Michigan,94
16739,2020-07-21,24,Maryland,68
16740,2020-08-07,05,Arkansas,99
16741,2020-07-14,48,Texas,752
16742,2020-09-10,11,District of Columbia,13
16743,2020-05-06,36,New York,1
16744,2020-08-04,11,District of Columbia,24
16745,2020-09-09,34,New Jersey,25
16746,2020-09-24,53,Washington,27
16747,2020-07-16,47,Tennessee,178
16748,2020-10-06,33,New Hampshire,2
16749,2020-07-19,09,Connecticut,11
16750,2020-07-20,30,Montana,16
16751,2020-09-07,09,Connecticut,8
16752,2020-10-04,37,North Carolina,116
16753,2020-09-17,49,Utah,30
16754,2020-09-19,39,Ohio,70
16755,2020-09-16,42,Pennsylvania,56
16756,2020-09-30,30,Montana,34
16757,2020-08-21,34,New Jersey,32
16758,2020-07-12,36,New York,0
16759,2020-09-06,42,Pennsylvania,58
16760,2020-04-09,44,Rhode Island,0
16761,2020-09-03,09,Connecticut,10
16762,2020-08-11,17,Illinois,84
16763,2020-07-22,27,Minnesota,6
16764,2020-08-09,01,Alabama,79
16765,2020-08-14,12,Florida,609
16766,2020-08-13,49,Utah,16
16767,2020-08-17,33,New Hampshire,30
16768,2020-09-18,19,Iowa,50
16769,2020-08-17,40,Oklahoma,85
16770,2020-07-25,35,New Mexico,17
16771,2020-07-19,42,Pennsylvania,25
16772,2020-09-05,35,New Mexico,4
16773,2020-08-30,37,North Carolina,643
16774,2020-07-20,53,Washington,43
16775,2020-07-17,11,District of Columbia,7
16776,2020-08-13,39,Ohio,124
16777,2020-10-01,11,District of Columbia,6
16778,2020-07-25,55,Wisconsin,23
16779,2020-08-10,10,Delaware,5
16780,2020-09-29,32,Nevada,37
16781,2020-09-27,56,Wyoming,10
16782,2020-09-11,08,Colorado,17
16783,2020-08-07,36,New York,68
16784,2020-09-26,27,Minnesota,61
16785,2020-08-14,45,South Carolina,91
16786,2020-09-02,41,Oregon,4
16787,2020-08-15,12,Florida,471
